"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","AC016831.7",4.13945048028561e-08,1.00189097558206,0.877,0.616,0.00105427664282394,2.48447285951604,3.17893076446919
"2","AC020916.1",3.03476099473464e-07,1.48700697772308,0.397,0.104,0.00772923277748967,0.758016002016608,1.78873069609833
"3","ACKR1",4.21929636014779e-07,1.94467642169873,0.192,0,0.0107461258996604,0,1.34794697880188
"4","ADAMTS1",6.94183918800212e-17,2.92549663661137,0.589,0.072,1.76801702279226e-12,0.394656640039054,2.42245638544383
"5","ADAMTS9",2.17905147862625e-20,3.15657913386235,0.644,0.048,5.54982621091319e-16,0.364214151572279,2.55218807842332
"6","AKAP12",7.50058356809017e-07,1.67435453355436,0.384,0.104,0.0191032362895688,0.650181071087463,1.81075519527843
"7","ANKRD44",8.28728335028034e-14,-2.17649753247676,0.26,0.784,2.1106881964829e-09,3.00840763843289,1.49977451030094
"8","AOAH",1.62195190611389e-06,-2.51303282278341,0.055,0.352,0.0413094930968147,2.13680798537529,0.394906369608368
"9","ARHGAP15",5.91076581796176e-11,-2.14401142673506,0.356,0.736,1.50541294617668e-06,3.20269821878094,1.71658274325123
"10","ATP1B3",2.52955255534516e-12,2.43807093584376,0.493,0.08,6.44251740320859e-08,0.381689350994011,2.07163134617926
"11","C2CD4B",1.16215582469934e-06,1.55768068998897,0.178,0,0.0295989466992674,0,1.07970197847852
"12","CCL2",8.19125750295376e-10,2.17227423449101,0.37,0.04,2.08623137342729e-05,0.323473261557238,1.8291790225977
"13","CCND3",3.23999329527029e-07,-1.4753721868748,0.205,0.6,0.00825193892372389,2.39278252037048,1.37013244876165
"14","CD96",4.6086266911224e-08,-1.93346479939576,0.082,0.472,0.00117377113196196,1.97818836207884,0.638012687665768
"15","CHST11",3.16753323489983e-08,-1.75224366998232,0.205,0.624,0.000806739039596638,2.47112635864478,1.25656359914252
"16","CLIC4",4.84885720185506e-09,1.82108111594068,0.521,0.176,0.000123495544074047,0.947827490378448,2.21010473146369
"17","CRISPLD2",4.58471211578619e-10,2.42213148984579,0.301,0.008,1.16768032876958e-05,0.045643975281013,1.72453758841308
"18","CXCL2",1.04621418772357e-11,2.44065442511969,0.329,0,2.66460291471315e-07,0,1.69173273349287
"19","CYR61",2.63587076200938e-07,1.52435682088486,0.589,0.304,0.00671329924376169,1.32147588360639,2.37807951617006
"20","DOCK8",1.24451609609882e-06,-1.52304792792431,0.123,0.472,0.0316965804515408,1.9293860685096,0.873689691411198
"21","DUSP1",4.53570197481519e-14,2.15909084201186,0.712,0.256,1.15519793596568e-09,1.35902247008585,2.85559019979918
