"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","AAMDC",2.99708828650395e-34,-0.706044527878481,0.049,0.263,7.63328415689691e-30,0.838006993644624,0.348614219795878
"2","ABCA10",2.61063664945099e-54,-1.35014396566554,0.294,0.666,6.64903048248672e-50,2.49002806025585,1.55417957710476
"3","ABCA5",5.88380779663891e-18,-0.363476372459541,0.069,0.219,1.49854700772596e-13,0.728997024333024,0.477054401562536
"4","ABCA6",3.17014628375069e-94,-1.66419329966165,0.162,0.652,8.07404557008464e-90,2.10506212239925,0.951531228832028
"5","ABCA8",1.52761694731281e-90,-1.62283042170949,0.157,0.645,3.89068760311099e-86,2.11464627481314,0.989785943478299
"6","ABCA9",1.14303330865669e-34,-0.852841052320067,0.288,0.616,2.91119153381772e-30,2.01834105919314,1.42719668831171
"7","ABCA9-AS1",7.35451678993966e-68,-1.46281454852465,0.026,0.345,1.87312188122973e-63,1.21273467744275,0.198788897450823
"8","ABCB10",2.44504128847009e-14,-0.319820807334869,0.029,0.126,6.22727565760447e-10,0.435774396724008,0.214091505835438
"9","ABHD15-AS1",3.38258397163696e-21,-0.475768858443478,0.019,0.14,8.61510311736216e-17,0.490463946086856,0.160686103258535
"10","ABHD18",7.06098712364084e-15,-0.266207884133731,0.069,0.202,1.79836281052009e-10,0.65711727172514,0.472596027395016
"11","ABI2",5.22527499046167e-19,-0.359760440078888,0.108,0.291,1.33082528732068e-14,0.896786345323213,0.647419410605527
"12","ABL2",4.26944413023674e-28,1.42471558570491,0.454,0.321,1.08738472552999e-23,0.991945717620152,1.97948330895133
"13","ABLIM1",2.82516533576624e-17,-0.531777113348176,0.266,0.506,7.19541359366303e-13,1.6763403695436,1.30774056274
"14","AC001226.2",7.9227809303998e-38,-0.813999374664985,0.011,0.196,2.01785307516352e-33,0.658505271268128,0.0942838997415342
"15","AC002074.1",4.70701478043513e-24,-0.692765315162456,0.017,0.147,1.19882959442902e-19,0.60887031810753,0.128681993112952
"16","AC004889.1",4.66896652438002e-32,-0.621224970145123,0.017,0.185,1.18913908409435e-27,0.55873725631235,0.128136919762822
"17","AC005154.6",5.15009248290996e-18,-0.324864230886709,0.032,0.152,1.31167705447234e-13,0.483048211646718,0.257869485942821
"18","AC005237.1",2.22265127812208e-17,-0.47710442402445,0.024,0.132,5.66087054024912e-13,0.499571867460988,0.168868281115764
"19","AC006059.1",4.03995218277703e-47,-1.03625629937831,0.019,0.253,1.02893542143148e-42,0.8663301642129,0.148052031961339
"20","AC007038.1",3.61002521668524e-25,-0.555508373031102,0.016,0.151,9.19437322437565e-21,0.498113151776441,0.11306408923249
"21","AC007193.2",3.20094860575185e-18,-0.440892005914741,0.009,0.103,8.15249600398939e-14,0.379019954175501,0.0734169033442796
"22","AC007216.4",6.15568578690733e-14,-0.251797436529447,0.048,0.159,1.56779161306743e-09,0.560029769120577,0.385497085917969
"23","AC007262.2",5.57362590658294e-21,-0.780927164878945,0.032,0.164,1.41954678214761e-16,0.777243053750901,0.235945591192389
"24","AC007319.1",3.58339415463968e-23,-0.61859491728598,0.104,0.306,9.12654657245181e-19,1.12941601359405,0.700638690768558
"25","AC007495.1",4.31290993396112e-16,-0.427597587606173,0.014,0.105,1.09845503108056e-11,0.407027699677681,0.110639637414228
"26","AC007566.1",8.38808795514127e-15,-0.343046673554206,0.018,0.106,2.13636212129493e-10,0.368921286153588,0.131139451579022
"27","AC008014.1",7.22646440400625e-33,-1.07401220809862,0.047,0.246,1.84050821905635e-28,1.07561170340465,0.331163169474128
"28","AC009093.2",1.54660994075264e-31,-0.648621417400397,0.049,0.25,3.93906085810291e-27,0.786054206710585,0.336464099988705
"29","AC009554.1",2.04535475738906e-22,-0.481647265886302,0.02,0.148,5.20931403159421e-18,0.486865694903989,0.153013250530493
"30","AC009690.1",5.49010491771273e-30,-0.66050887906576,0.026,0.195,1.39827482149226e-25,0.65646840356257,0.198638536303328
"31","AC009690.2",6.60898120825739e-18,-0.392575667136665,0.011,0.107,1.68324142393107e-13,0.373122818150976,0.101010101318757
"32","AC010894.3",8.2862165611867e-30,-0.686732332878447,0.031,0.205,2.11041649596864e-25,0.692571442289258,0.216564861955209
"33","AC011511.2",2.45335924385918e-156,3.59499821974198,0.55,0.026,6.24846065818495e-152,0.107001904044053,2.59886478417623
"34","AC012358.3",5.10734870041021e-16,-0.398793238449011,0.022,0.122,1.30079064050748e-11,0.439420902966652,0.16299849410935
"35","AC012404.1",3.94662834945773e-47,-0.894857974356931,0.013,0.239,1.00516677432339e-42,0.730533384161278,0.110265102234188
"36","AC012409.2",1.48895593900046e-71,-1.39454152290913,0.038,0.389,3.79222188104028e-67,1.24900625233069,0.282383727552459
"37","AC013451.1",1.66994068449568e-37,-0.941886056685367,0.001,0.169,4.25317192934205e-33,0.655279259129664,0.00241359452947762
"38","AC016708.1",5.49826249529088e-16,0.858887254883112,0.108,0.022,1.40035247492563e-11,0.113298309807266,0.708633588948366
"39","AC020916.1",5.49726062527584e-21,1.22848055061179,0.384,0.262,1.4000973086515e-16,0.839132334376132,1.69065016440542
"40","AC021231.1",1.93657227795038e-09,-0.287726162223215,0.032,0.104,4.93225593471182e-05,0.438721070376457,0.239284492258102
"41","AC022217.3",1.76697160335087e-50,-1.02019070419363,0.039,0.31,4.50029997657434e-46,0.985526309588738,0.278383999343461
"42","AC025159.1",2.59559263896554e-49,-1.24687413877485,0.047,0.32,6.61071489218134e-45,1.25583249475216,0.391565200947258
"43","AC025682.1",1.46356037748092e-12,-0.274532933347004,0.023,0.106,3.72754192540615e-08,0.359388515768348,0.16909678704802
"44","AC026316.5",7.37287685698747e-51,-1.42251921715177,0.082,0.381,1.87779800670614e-46,1.52711332726588,0.541098142604786
"45","AC027097.2",2.44326884123238e-26,-0.638206205976514,0.05,0.227,6.22276141173474e-22,0.812736922556558,0.370366090268078
"46","AC048341.1",3.59853062000858e-17,-0.354289456878338,0.031,0.145,9.16509763609985e-13,0.488645679235825,0.243070941098491
