"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","ABCA8",5.06694495548652e-08,-0.807440097168626,0.226,0.457,0.00129050021071286,1.79318492034569,1.23351009352221
"2","AC008056.1",1.2812474986248e-30,-2.61811203093084,0.059,0.427,3.2632092542475e-26,2.24631387919136,0.431576906561576
"3","AC009554.1",1.51152083268546e-07,-0.967715998210845,0.013,0.104,0.00384969240876659,0.76812715359319,0.0973575378505893
"4","AC010127.1",1.9145483962119e-10,-0.981153041856559,0.015,0.14,4.8761633103121e-06,0.820630763915302,0.140547299254614
"5","AC010894.3",9.01930113935877e-08,-0.828605150579046,0.059,0.207,0.00229712580718328,1.03231860739159,0.457973283470272
"6","AC012409.2",4.46375328199845e-27,-1.97541336326172,0.048,0.384,1.13687332339218e-22,1.7377425933826,0.3684903901973
"7","AC016831.7",3.89285780217388e-08,0.880407022558999,0.636,0.463,0.000991471953635666,1.90063301330517,2.51088465873711
"8","AC020916.1",8.59413348405341e-15,1.97268956342438,0.382,0.061,2.18883985705356e-10,0.419702776334304,1.78706698534195
"9","AC022679.2",1.79428066864631e-15,-1.05707388018404,0,0.134,4.56985343497529e-11,0.732707779693126,0
"10","AC044781.1",3.48714948012585e-09,-0.837857159291947,0.013,0.122,8.88142101093254e-05,0.718441297664065,0.137682969988887
"11","AC048341.1",8.34538651543566e-07,-0.707190177976598,0.035,0.146,0.0212548649161631,0.744905312761255,0.25471843477709
"12","AC092567.1",3.07415173784556e-10,-0.728587231872885,0.004,0.104,7.82955706111886e-06,0.552787922479459,0.0477697369147936
"13","AC092839.1",3.88197337143047e-08,-0.869139234285169,0.013,0.11,0.000988699797969627,0.718838245563638,0.116396835804844
"14","AC093110.1",5.94368380914197e-10,-0.862607474440216,0.011,0.122,1.51379682935037e-05,0.674268472732508,0.0763545338943374
"15","AC097376.2",2.23380262604188e-07,-0.771813843432261,0.026,0.134,0.00568927190826606,0.74618649841252,0.211205908920313
"16","AC104596.1",6.96901784470788e-07,-0.909341845627969,0.026,0.128,0.0177493915486865,0.877098534965434,0.24679079850323
"17","AC245297.3",9.34026675672107e-22,-1.5686644270233,0.129,0.494,2.37887254026929e-17,1.9450348084564,0.857719483620522
"18","ACTA2",4.60888733221807e-08,-0.630597153826897,0.77,0.896,0.00117383751464262,3.34818651628877,2.91108987704453
"19","ADAMTS1",1.8113152926324e-23,2.26889143908563,0.542,0.098,4.61323891880545e-19,0.63916831622951,2.21184402022831
"20","ADAMTS4",9.73515388446941e-11,1.86272751507681,0.217,0,2.47944634283551e-06,0,1.29114432522692
"21","ADAMTS9",2.35488477461943e-33,2.16011923396736,0.743,0.183,5.99765603247823e-29,1.24633347436317,2.74361403106096
"22","ADGRB3",1.76154589930592e-07,-1.09053848775064,0.557,0.689,0.00448648125094226,3.17519021959074,2.41928654151428
"23","AHNAK",1.44787591165974e-08,0.798304561780526,0.689,0.543,0.00036875951594062,2.09780185200144,2.65114440822775
"24","AKAP12",5.21404574593917e-09,1.1103394681121,0.476,0.238,0.000132796531103325,1.31860969584555,2.08823836763188
"25","AL445472.1",1.12535068570246e-07,-0.838870108127516,0.018,0.116,0.00286615566141561,0.696484229367763,0.115023779063159
"26","ANK3",3.80501114320188e-09,-0.989490243110088,0.553,0.72,9.69098288062088e-05,2.99348862891091,2.30762625670757
"27","AP000311.1",1.08316303026819e-07,-0.981687641466409,0.02,0.122,0.00275870792179005,0.868313933219496,0.187859912346512
"28","AP002518.2",2.03816186975842e-08,-0.999078669117217,0.037,0.171,0.000519099446608771,1.0603837894422,0.367875226786022
"29","APCDD1",4.19782386808216e-08,-0.862408529136824,0.018,0.122,0.00106914376096184,0.767540151468419,0.16976411100638
"30","ARHGEF26",1.69278705393065e-08,-0.96806680285158,0.189,0.415,0.000431135934765597,1.76112864947137,1.09011587448112
"31","ARID5A",7.05024668985541e-08,1.40719195151908,0.221,0.037,0.00179562732943927,0.295407184262967,1.27079831796506
"32","ARMCX4",1.45887490752919e-06,-1.02207687522056,0.105,0.262,0.037156085019861,1.45207565720326,0.743625952828612
"33","ASTN2",5.4176659174692e-13,-1.2471103395172,0.237,0.512,1.37982533252023e-08,2.17924192561157,1.31481090992806
"34","ATF3",4.8992537414483e-10,1.45587380914249,0.336,0.085,1.24779093540947e-05,0.609628587230973,1.61876341328915
"35","ATP10B",3.46081026289712e-09,-0.970136712687501,0.048,0.201,8.81433765857267e-05,1.02721202869466,0.354764501537626
"36","ATP13A3",5.15226737173572e-08,1.21342563652425,0.338,0.116,0.00131223097690737,0.767239483116676,1.60832204189262
"37","ATP1A1",2.91934004395172e-07,1.41898222029588,0.213,0.043,0.00743526715794064,0.260827248506087,1.24439077376887
"38","ATP1B3",2.10395643162137e-19,2.28047244432067,0.456,0.073,5.35856663569646e-15,0.407718218999893,1.98842126412541
"39","BBS2",5.87084760947371e-09,-0.880037199943355,0.07,0.244,0.000149524617765686,1.09857581607421,0.488580512145609
"40","BHLHE40",4.47382236561244e-10,1.53250037728651,0.309,0.067,1.13943781829783e-05,0.478046187973038,1.54029450369624
"41","BMPR2",2.38287556176215e-08,1.08592960750762,0.485,0.28,0.000606894576825201,1.30916970212911,2.06187874785958
"42","BMS1P14",2.13502142196868e-11,-0.957454321700957,0.007,0.122,5.43768605961204e-07,0.715439524852435,0.0517827612504816
"43","BTG2",2.92159229308256e-12,1.70925362266273,0.344,0.067,7.44100341125198e-08,0.454463103895377,1.63922743330592
"44","C11orf96",2.00286635179416e-09,0.921823484611185,0.577,0.323,5.10110031138454e-05,1.64652173713125,2.28548108646343
