"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","AAMDC",1.72622801933501e-10,-0.783666969137708,0.053,0.206,4.39653014244435e-06,0.79938955898903,0.25619300883327
"2","ABCA1",1.26404455080196e-07,0.884889812512561,0.148,0.041,0.0032193950664375,0.199758675199834,0.813117553849135
"3","ABCC4",1.57566248782617e-11,-1.0854179892692,0.146,0.346,4.01305479024447e-07,1.41014830015762,0.657793881166623
"4","ABL2",8.67653372432922e-39,1.90370486892772,0.628,0.239,2.20982637424941e-34,0.929194632828727,2.24874229534422
"5","ABTB2",2.66041860261229e-07,0.905822051661114,0.128,0.031,0.00677582013899324,0.146423836943981,0.774291838141907
"6","AC001226.2",3.42885324037371e-07,-0.637801201703281,0.023,0.115,0.00873294631790781,0.540708953696324,0.0986188489779497
"7","AC004540.1",2.59545309055747e-09,-0.527770540618129,0.02,0.135,6.61035947634083e-05,0.499424632081306,0.133601969869252
"8","AC004889.1",7.42771559691642e-09,-0.518148196584443,0.013,0.112,0.000189176488537864,0.413154660597019,0.0540016990222923
"9","AC005237.1",7.4322972727805e-07,-0.368839795385718,0.018,0.102,0.0189293179240446,0.355138535986461,0.0994782717365437
"10","AC006059.1",1.23668007592891e-19,-1.13217425967519,0.028,0.257,3.14970048538334e-15,1.03827828001209,0.253514884015691
"11","AC007319.1",3.65207103986851e-15,-1.42808564505238,0.163,0.399,9.3014597314411e-11,1.76668096175238,0.776807423286195
"12","AC010737.1",9.98387477015087e-23,-2.05084711848603,0.146,0.435,2.54279306520973e-18,2.08743716822608,0.665898270288008
"13","AC010894.3",9.73048722761341e-08,-0.70850361661172,0.033,0.14,0.00247825779200086,0.704491129176545,0.213393844905606
"14","AC011511.2",1.325015587873e-36,2.85430094013551,0.405,0.038,3.37468220075375e-32,0.176856001433783,2.15530665055831
"15","AC015923.1",5.5505857068849e-13,-0.917831992215224,0.023,0.178,1.41367867368652e-08,0.7818455431817,0.14565288555
"16","AC016831.7",2.44900102043417e-66,2.20400706071415,0.93,0.598,6.2373606989438e-62,2.38208440694786,3.90978568701608
"17","AC020916.1",3.62711266976615e-36,1.81570876112317,0.578,0.193,9.23789325862739e-32,0.780740524256288,2.0392939327468
"18","AC022217.3",3.13608874244245e-11,-0.729199518691411,0.085,0.272,7.98730441812667e-07,0.962523039807205,0.457080449360584
"19","AC023051.1",1.24043513232278e-08,-0.593156830498477,0.023,0.13,0.000315926423851289,0.503144332679129,0.091999347989236
"20","AC024145.1",1.55217063740368e-09,-0.696812874208815,0.04,0.173,3.95322339640343e-05,0.656492244242707,0.173498365106995
"21","AC025569.1",6.11172176546911e-24,-1.22361559152735,0.025,0.285,1.55659441644733e-19,0.973154915614171,0.125009218257796
"22","AC092683.1",1.00410775826355e-15,-0.857694423319,0.055,0.267,2.55736204952142e-11,0.85309783369543,0.258589362389877
"23","AC097376.2",1.73406912017383e-12,-0.826044956654683,0.02,0.168,4.41650064217073e-08,0.720784576306661,0.148213843585704
"24","AC139887.2",7.88756108909113e-09,-0.60720906684,0.035,0.158,0.000200888293378062,0.604293914243044,0.183408661552462
"25","AC245297.3",1.38173963307905e-08,-0.893262858477584,0.143,0.308,0.000351915267148903,1.25549121339223,0.636328581539571
"26","ACACB",1.41791098520908e-09,-0.865761898041787,0.131,0.31,3.61127748822901e-05,1.20659799217835,0.60649757351446
"27","ACKR1",1.69506290893125e-07,0.729963028131356,0.113,0.02,0.004317155722757,0.125777451992435,0.631749266854684
"28","ACSL4",1.80681379486978e-07,0.827280240491119,0.281,0.145,0.00460177405415385,0.613038532082153,1.18646549831153
"29","ACTA2",5.47882771994371e-17,-0.922142210622622,0.789,0.924,1.39540263199246e-12,3.20046301516316,2.56128274179478
"30","ACTG2",5.02426458505253e-08,-0.904640789060499,0.201,0.379,0.00127962994716703,1.59686012325737,0.969810910900558
"31","ACTR3",9.71631746337835e-07,0.78098457696278,0.347,0.209,0.0247464889474783,0.846301285433088,1.38763854301564
"32","ACVR1B",1.95475499833187e-13,1.23827603436264,0.334,0.137,4.97856550525145e-09,0.477229346743767,1.33553688871718
"33","ADAM10",4.53776715919715e-07,-0.593893837678727,0.128,0.28,0.0115572391777592,1.0855419146817,0.673886075542767
"34","ADAM17",1.6547422946721e-10,0.936521800492815,0.442,0.257,4.21446315030038e-06,0.93348739801562,1.58263484356014
"35","ADAM9",3.66375137006122e-07,0.82626722685733,0.231,0.104,0.00933120836440892,0.467803523965052,1.0405283226503
"36","ADAMTS1",7.34633996058703e-51,1.87165201365484,0.774,0.277,1.87103932456191e-46,1.38110712010456,2.67843743635875
"37","ADAMTS4",1.50127398454961e-41,2.30601440847214,0.394,0.008,3.8235947112494e-37,0.0280059013836282,1.6264132869467
"38","ADAMTS9",6.09717003238546e-78,3.13061178189061,0.704,0.048,1.55288823554825e-73,0.365397517129043,2.53537224717427
"39","ADD1",1.15544530342763e-10,-0.673194134890987,0.178,0.397,2.94280364329982e-06,1.27476843108503,0.808145814515853
"40","AEBP1",6.39435335406164e-08,0.503298794349446,0.545,0.372,0.00162857785574596,1.60937856752917,1.95823870781171
"41","AF241726.2",2.88696742986048e-12,-1.01233168754984,0.038,0.198,7.35281734711165e-08,0.903301931277542,0.201607076260877
"42","AFAP1L1",6.882062535229e-11,-0.712388580862877,0.028,0.165,1.75279250709747e-06,0.638351680942549,0.144561544654344
"43","AFF4",3.57441363380972e-12,0.845158191120459,0.563,0.384,9.10367408394997e-08,1.373980338416,1.95979935571829
"44","AGPAT3",1.21403067786131e-08,-0.646759263286935,0.075,0.221,0.000309201473344498,0.811765622079868,0.363466262231501
"45","AIF1L",5.1557941673383e-11,-0.767447647692876,0.043,0.196,1.31312921647939e-06,0.807200108481061,0.275245935255382
"46","AKAP12",1.7803506682703e-17,1.51370717501281,0.394,0.148,4.53437511701762e-13,0.718057049567277,1.76727891012077
"47","AKAP13",2.67652445676443e-20,1.06535698171728,0.716,0.522,6.81684013893332e-16,1.78044797477585,2.51889716294304
"48","AL117190.2",1.51921417851392e-06,0.953192792435347,0.123,0.033,0.0386928659125711,0.166679956932261,0.827382853538883
"49","AL133415.1",3.98826267765131e-07,-0.50235683499511,0.025,0.117,0.0101577062137101,0.454574379193405,0.106367155381527
"50","AL359915.2",9.75767987443295e-09,-0.600357380540533,0.028,0.142,0.000248518348721933,0.579949247483875,0.163813221833851
"51","AL445426.1",7.3690135764973e-25,-1.58932664859235,0.08,0.387,1.8768140677981e-20,1.47447492508539,0.372837639624814
"52","AL590226.1",5.09511304726091e-12,-0.76773374896708,0.003,0.12,1.29767434200688e-07,0.537358193221937,0.00520570970468826
"53","AL592183.1",2.14912796002208e-12,-0.752699109788469,0.025,0.176,5.47361400138024e-08,0.643073361886768,0.12134209612691
"54","ALDH2",5.93333965167253e-07,-0.685736360344013,0.035,0.135,0.0151116227588448,0.651298087552475,0.175981862772583
"55","ANAPC16",8.77722847219674e-07,-0.541843243518353,0.085,0.214,0.0223547231958379,0.804592072469675,0.429014955919473
"56","ANGPTL4",1.57431441906179e-14,1.39555270151108,0.173,0.015,4.00962139390847e-10,0.0475651751365332,1.01488859551175
"57","ANKAR",4.20587918058025e-09,-0.869328687535373,0.065,0.209,0.000107119536850198,0.899054175833123,0.296481447088101
"58","ANKUB1",9.67962265163265e-11,-0.766933429695573,0.023,0.153,2.46530309314432e-06,0.641421569101689,0.109823824631034
"59","ANO6",3.02723510305851e-08,0.582360324930927,0.545,0.387,0.000771006508397973,1.43413048506393,1.83779190235978
"60","ANXA2",1.34949209093646e-10,0.998572829157422,0.472,0.285,3.43702140640606e-06,1.17886997712823,1.87102791824246
"61","ANXA3",9.25748450641851e-14,-1.07717700174543,0.035,0.209,2.35778872893973e-09,0.939712432873193,0.193070231149332
"62","AP002518.2",2.98247472385135e-17,-1.2048758174936,0.08,0.323,7.59606487417699e-13,1.22676611287543,0.39160983705488
"63","AP003086.2",6.62566489774241e-15,-1.05928314626603,0.033,0.216,1.68749059280601e-10,0.924815950115538,0.190576823866571
"64","APOLD1",8.13329201330801e-08,0.771006118332704,0.131,0.028,0.00207146814286942,0.172828918268674,0.707249635385455
"65","AR",5.30254025627382e-10,-0.83045071289616,0.09,0.26,1.35050397787038e-05,0.995913033625044,0.420288463387074
"66","ARAP2",2.46199213265949e-17,1.61559333483627,0.274,0.056,6.27044776267046e-13,0.265911258565037,1.38575522353824
"67","ARFGAP3",1.40300069230163e-07,0.840245818643002,0.302,0.16,0.00357330246322301,0.673844319908783,1.25625834007846
"68","ARHGAP23",1.47634945290524e-12,1.12005216962184,0.349,0.153,3.76011442160436e-08,0.638199532182718,1.41456053563615
"69","ARHGAP31",1.97325495557756e-08,-0.774167723948252,0.249,0.443,0.000502568304636048,1.63349476748456,1.09688259234932
"70","ARHGEF12",1.71885721044326e-30,1.69963245425438,0.668,0.366,4.37775742927793e-26,1.24984201510194,2.42793745875655
"71","ARHGEF37",1.1948947805262e-07,-0.481140317997615,0.02,0.115,0.00304327751652217,0.43157234493665,0.0980712900628875
"72","ARID4B",7.3590779024411e-18,1.12632562005352,0.608,0.397,1.87428355097272e-13,1.33033779300262,2.11104722093515
"73","ARID5A",5.31278880234102e-30,1.67087675392381,0.497,0.15,1.35311418006823e-25,0.607055960141524,1.76521947118696
"74","ARID5B",1.39113800874205e-19,1.09883142746324,0.57,0.3,3.54308939446513e-15,1.22617992209486,1.98783182795167
"75","ARIH1",6.68862010903354e-08,0.695086641047232,0.5,0.341,0.00170352465556975,1.28522473156374,1.76702207705051
"76","ARL5B",7.95667017600717e-13,0.937803954176008,0.204,0.038,2.02648432712727e-08,0.20691266695271,0.856948833707778
"77","ARRB1",7.01848825745191e-08,-0.564564775989731,0.06,0.188,0.00178753877429043,0.713789251695245,0.322462768974506
"78","ARRDC3",7.12286897170379e-33,1.80710890345308,0.425,0.064,1.81412349840324e-28,0.367779520668561,1.62037196206184
"79","ART4",1.17189651319834e-08,-0.684360649546862,0.015,0.115,0.000298470322946486,0.531434943973331,0.0570722892537504
"80","ASAP1",3.98147228272464e-07,0.591610599458727,0.59,0.481,0.0101404117568714,1.66935877935431,2.0794319983585
"81","ASS1",2.87499980358314e-08,-0.642231595040449,0.048,0.176,0.00073223369997459,0.781417424846755,0.336256405477951
"82","ASXL1",2.71685096531492e-09,0.784458856931459,0.477,0.316,6.91954772356056e-05,1.14829640106844,1.69204184601576
"83","ATF3",2.08299038298631e-20,1.35884781665042,0.389,0.115,5.30516820642783e-16,0.615077782953351,1.55695931587463
"84","ATG12",1.74064819978228e-06,-0.458282262312404,0.025,0.112,0.0443325690002548,0.431601861060536,0.11394480303806
