"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","AAMDC",2.31374642231065e-28,-0.426695861326257,0.063,0.229,5.89288076298299e-24,0.703096385096195,0.407333351861303
"2","ABCA1",9.04731320966269e-17,0.95661256832473,0.196,0.096,2.30426020136899e-12,0.357229877235347,1.02030318185784
"3","ABCA3",1.48033922630012e-14,-0.25182613633073,0.028,0.107,3.77027597546378e-10,0.365785774291301,0.191233197902351
"4","ABCB7",1.59491748336037e-18,-0.32982357708609,0.024,0.117,4.06209533837054e-14,0.367050547217422,0.138434264678003
"5","ABL2",5.19857322198033e-07,0.678103717597915,0.315,0.282,0.0132402461390617,0.851273985571465,1.32129966555168
"6","ABTB2",9.29685691018488e-16,-0.328263247856587,0.113,0.249,2.36781648645499e-11,0.880336017962768,0.652801273229525
"7","AC001226.2",2.99252295468346e-22,-0.41347270934139,0.024,0.129,7.6216567132833e-18,0.455165489545625,0.168568046827159
"8","AC002066.1",1.58069799756769e-09,-0.26098931983523,0.163,0.279,4.02587973000516e-05,1.04109502372502,0.860191012524972
"9","AC004988.1",9.16777631510688e-24,-0.341263204334032,0.018,0.124,2.33494094969457e-19,0.380046596686136,0.14350096877315
"10","AC005154.6",9.75978678976781e-15,-0.25340334011352,0.036,0.123,2.48572009748596e-10,0.397463596632763,0.221817785888604
"11","AC005358.1",6.98875846909983e-14,-0.265611291303594,0.035,0.117,1.77996689449504e-09,0.393168674108805,0.209060956416833
"12","AC006059.1",2.85249484084882e-25,-0.420666132318896,0.046,0.184,7.26501911015785e-21,0.580399588494025,0.288816044920125
"13","AC007038.1",1.10755052906189e-19,-0.361183581281753,0.025,0.123,2.82082044246772e-15,0.405192859152952,0.154839478122961
"14","AC007563.2",1.9084039362131e-15,-0.271135162322951,0.046,0.142,4.86051398514115e-11,0.513843205023495,0.325906631708678
