"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","ABCA1",2.79004028598514e-63,0.33943677375641,0.48,0.349,5.58008057197027e-60,0.3476997594851,0.67804559443549
"2","ABCA8",3.53703366810518e-80,0.257479339488626,0.825,0.427,7.07406733621036e-77,0.384676241803378,0.550179039979323
"3","ABL2",6.0325207522992e-33,0.293158377079832,0.473,0.319,1.20650415045984e-29,0.90105766864797,1.24197295217534
"4","ABLIM1",1.61358730982685e-141,0.490899413068464,0.444,0.412,3.2271746196537e-138,0.597658969288903,1.13915917828875
"5","AC008014.1",4.27029241551521e-148,-0.286997406481442,0.861,0.447,8.54058483103042e-145,0.717268609592189,0.482503695462304
"6","AC016708.1",0,0.389114173614893,0.34,0.372,0,0.171508949408784,0.598436097431561
"7","AC024901.1",2.73391461170165e-135,-0.341625960343066,0.859,0.499,5.46782922340331e-132,1.29090201083686,0.954725842349061
"8","AC098829.1",4.58398027191599e-36,-0.320207354302514,0.881,0.616,9.16796054383198e-33,1.86796568457689,1.48011018111454
"9","AC109466.1",0.903103060720631,-0.444022461923787,0.741,0.445,1,0.541824530460679,0.270688878732884
"10","ACKR1",0,0.629094088049537,0.169,0.232,0,0.179401204028526,0.894314215163902
"11","ACTG2",2.26937394865218e-11,-0.336128129294657,0.871,0.611,4.53874789730435e-08,2.21951625731557,1.94962685744934
"12","ADAM12",2.69970913507969e-17,0.267804359432353,0.533,0.349,5.39941827015938e-14,0.0655652142013945,0.303061344586347
"13","ADAMTS1",1.3748465016294e-100,0.336885568878259,0.705,0.402,2.74969300325879e-97,0.80474822760395,2.17387167391379
"14","ADAMTS4",3.42244401929078e-138,0.855966098460564,0.374,0.224,6.84488803858156e-135,0.0388107040368438,1.23846110939101
"15","ADAMTS9",1.4394669205517e-113,0.355153949636973,0.693,0.398,2.8789338411034e-110,0.439407981698574,2.46218530997967
"16","ADGRB3",2.08789965470482e-27,-0.503010243302818,0.82,0.507,4.17579930940965e-24,1.52568846559046,1.06896802292979
"17","ADGRL3",1.5499262810726e-12,-0.337733937901686,0.792,0.73,3.09985256214519e-09,2.38321521787272,2.29817971006315
"18","ADGRL4",0,0.633550572926368,0.313,0.38,0,0.176487813319476,0.859324693846077
