"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","ABCA1",3.35267378513384e-70,0.331870920238101,0.391,0.181,6.70534757026768e-67,0.243609479416643,0.576471049678224
"2","ABCA8",7.62053280443383e-112,0.271446087812191,0.752,0.284,1.52410656088677e-108,0.160302549150746,0.376368716303517
"3","ABI3BP",2.10917820830631e-75,0.347220220698938,0.849,0.408,4.21835641661261e-72,0.963039914343333,1.13784824159612
"4","ABLIM1",5.67540958751489e-107,0.413567926848018,0.42,0.312,1.13508191750298e-103,0.432999765897375,0.956632657466253
"5","AC024901.1",6.77036650996375e-06,-0.253376391854407,0.896,0.611,0.0135407330199275,1.6621492633964,1.38603991030018
"6","ACKR1",0,0.463253411252538,0.232,0.195,0,0.070383630332943,0.615789441090445
"7","ADAMTS1",6.64066807243679e-35,0.294973985617678,0.694,0.389,1.32813361448736e-31,0.537988707390402,1.89590340815678
"8","ADAMTS4",0,0.528863896404935,0.27,0.15,0,0.00478924276816959,0.940188524117756
"9","ADAMTS9",5.41756812494281e-54,0.404094452712627,0.692,0.336,1.08351362498856e-50,0.51041952879868,2.17395605876282
"10","ADGRB3",2.0842101320622e-34,-0.359509498110197,0.982,0.565,4.1684202641244e-31,1.54753805510466,0.830886819713607
"11","ADGRF5",1.11104718609917e-48,0.282026342777095,0.623,0.22,2.22209437219833e-45,0.0432459535381718,0.281944745168557
"12","ADGRL4",1.17181975743651e-284,0.349516835634368,0.324,0.291,2.34363951487301e-281,0.0784656725444225,0.62048663692773
"13","ADRA1A",0.00771722528764155,-0.38823123935671,0.995,0.674,1,1.73502088295981,1.06752252080083
"14","AKAP12",2.74959882511955e-06,0.526299901100758,0.545,0.348,0.0054991976502391,0.958394536659676,2.13316295402805
"15","ANK3",1.28881649548744e-22,0.380013631945765,0.45,0.227,2.57763299097488e-19,0.640052419082107,0.934257987314725
"16","ANKRD28",5.43322720391481e-07,0.356634187693008,0.678,0.381,0.00108664544078296,0.712148651046128,1.04738750785048
"17","ANO2",1.59606811181171e-149,0.414325087010495,0.39,0.278,3.19213622362342e-146,0.09012960976378,0.523349110234927
"18","APOE",2.08914681165466e-109,0.286517512708032,0.405,0.233,4.17829362330932e-106,0.0880430885478598,0.374272300198327
"19","APOLD1",0,0.2891964202417,0.244,0.161,0,0.196856322366934,0.557771187628401
"20","AQP1",1.04423121980839e-76,0.371760327665279,0.46,0.363,2.08846243961677e-73,0.562093667881697,1.11686390371438
"21","ARAP2",3.8181418551204e-163,0.359933834575664,0.368,0.268,7.6362837102408e-160,0.0427804228494375,0.436909559022287
"22","ARHGEF3",2.3764828826918e-06,0.473625123209699,0.556,0.299,0.0047529657653836,0.246490435959738,0.716696140457339
"23","ARL15",0.00105055688570651,0.32514234881353,0.666,0.398,1,0.928798345555494,1.2772501967703
"24","ARRDC3",2.26389229471702e-157,0.585296129165025,0.359,0.224,4.52778458943404e-154,0.157689205950229,0.995851151465757
"25","ASTN2",4.79491281351621e-34,-0.401225909419267,0.987,0.55,9.58982562703241e-31,1.14900833468679,0.670104023952587
"26","ATP1B3",7.50586316246511e-15,0.511590961319063,0.647,0.366,1.50117263249302e-11,0.575342026631816,1.99607017902601
"27","ATP2A2",2.01430810913659e-16,0.297579240858152,0.827,0.528,4.02861621827318e-13,1.18592176765269,1.37073561735118
"28","AXL",1.84467719352796e-14,0.348132511167367,0.547,0.358,3.68935438705593e-11,0.790220105091947,1.21939611757125
"29","B4GALT1",1.33671390021216e-41,0.289586597729117,0.542,0.433,2.67342780042432e-38,0.72619991750215,1.194651579726
"30","BANP",5.09477124972668e-06,0.410617538152378,0.545,0.275,0.0101895424994534,0.411926634647258,0.833558510947918
"31","BASP1",1.57247686619936e-157,0.274228785975817,0.78,0.289,3.14495373239873e-154,0.297967280272648,0.461247810420751
"32","BAZ1A",2.87429299194552e-48,0.260141357653349,0.501,0.337,5.74858598389104e-45,0.4359409615122,0.791174925722595
"33","BIRC3",0,0.396140292593815,0.261,0.189,0,0.0680489812560153,0.579928831872757
"34","BNC2",3.28757937159816e-15,0.30149460702793,0.87,0.534,6.57515874319631e-12,0.997523628588316,1.24418570296841
"35","C3",3.64569834425973e-25,0.299344968903369,0.697,0.336,7.29139668851946e-22,0.256836413976651,0.629639777156248
