"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","ABLIM1",1.49601028957542e-22,0.284278367430337,0.481,0.49,2.99202057915084e-19,0.461644373286313,0.835128237417832
"2","AC002066.1",0.00442513533436784,-0.285758090318639,0.675,0.395,1,1.37499055145434,1.15116116981134
"3","AC008014.1",3.59405709183099e-13,-0.482294302139729,0.872,0.58,7.18811418366198e-10,1.14612597738031,0.651374077123976
"4","AC019197.1",0.227700685984943,-0.382922129313958,0.891,0.59,1,0.552252310501267,0.218485695950261
"5","AC025159.1",1.57768619532002e-12,-0.269931677458557,0.753,0.436,3.15537239064004e-09,0.787964316084414,0.63930589327423
"6","AC090517.4",0.0342142312749109,-0.257177852920331,0.583,0.339,1,0.638600223208068,0.442664944218713
"7","AC109466.1",0.903131230516091,-0.91468023969541,0.728,0.541,1,1.52175635882859,0.521691716490935
"8","ACKR1",1.20240640128571e-118,0.430820450899198,0.14,0.17,2.40481280257142e-115,0.0832515187450988,0.691697874964976
"9","ADAM19",2.94038874016365e-20,0.267840398941016,0.859,0.48,5.88077748032729e-17,1.05047839619219,1.07158318303434
"10","ADAMTS12",1.28598386046952e-47,-0.327685877723039,0.905,0.359,2.57196772093903e-44,1.06501198105279,0.569370366739878
"11","ADAMTS4",9.19550136133665e-05,0.659332991877908,0.416,0.208,0.183910027226733,0.130026998568948,1.67696501017292
"12","ADAMTS9",9.78864169874714e-16,0.448296178281178,0.705,0.408,1.95772833974943e-12,0.479724550330262,2.63933496389952
"13","ADAMTSL3",2.29070909479166e-25,0.278918690404158,0.952,0.596,4.58141818958332e-22,0.567617590582336,0.587740443197794
"14","ADAP2",3.1222056883386e-99,-0.2770599189969,0.855,0.141,6.2444113766772e-96,0.52591234573109,0.165533985391935
"15","ADGRF5",0.935184565554114,-0.47328749393739,0.632,0.431,1,1.26571864544653,0.862725181140788
"16","ADGRL2",6.19951568776002e-05,-0.387400845575825,0.878,0.546,0.1239903137552,1.3100957931038,0.957700482417555
