"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","AC011247.1",4.84792963927665e-12,1.3377142711063,0.184,0.027,1.06858065108936e-07,1.09311222910361,0.165879353691471
"2","AC073050.1",2.1508217605702e-07,1.06383105344428,0.174,0.048,0.00474084132464884,1.04511877389284,0.307727278605825
"3","AC105052.3",3.72388858357763e-07,0.596043438781044,0.188,0.058,0.00820819521592182,0.696156032254569,0.283010203172234
"4","ACTA2",2.04256802932185e-21,-0.95594388613867,0.923,0.964,4.50222845023123e-17,3.31890546412109,3.98151527357163
"5","ADAMTS9-AS2",2.034613576703e-09,-0.756106018981649,0.725,0.773,4.48469524576876e-05,2.47021199538683,2.99430475064837
"6","ADCY2",1.06292306225791e-11,0.935477685407387,0.164,0.019,2.3428950138289e-07,0.750115247380352,0.101691527263478
"7","ADGRA3",3.48869035788194e-07,0.737371625728591,0.242,0.094,0.00768977128684338,0.898947643945229,0.387840580546553
"8","ADRA1A",3.47284310378149e-07,0.830621238101345,0.251,0.099,0.00765484076935516,1.12889252910846,0.553149759805305
"9","AFDN",7.9827891718857e-09,0.559436616989316,0.116,0.012,0.000175956638926705,0.455142874187715,0.0673709604195763
"10","AFF1",9.99790887483321e-08,0.585353868196988,0.551,0.331,0.00220373907419074,1.82465837090324,1.41892198753264
"11","AHDC1",1.03900176435766e-09,0.874644080076985,0.391,0.174,2.29016768899715e-05,1.32053733698635,0.714280258887543
"12","AHNAK2",2.11885548496525e-10,0.613877219772784,0.111,0.005,4.6703812599604e-06,0.44361788987295,0.0181106257774667
"13","ANK3",6.82800558538048e-19,-1.77578138202959,0.13,0.483,1.50502899112956e-14,0.670397796489646,1.9012756547343
"14","AOX1",5.88042365610166e-19,1.13256374601596,0.251,0.024,1.29616298227793e-14,0.956399967410027,0.171366600054651
"15","AP003555.3",5.40789421452019e-10,-0.932637072673498,0.043,0.251,1.19200804276454e-05,0.301119903533861,0.947574660943177
"16","ARHGAP15",4.8729816391383e-13,-1.51428686167629,0.15,0.449,1.07410261289886e-08,0.955500478074659,2.00512414680455
"17","ARHGEF10L",1.77015684374023e-10,0.964398057211581,0.517,0.287,3.90177971497222e-06,1.86227405859383,1.19380426430014
"18","ARL17B",8.93489921397982e-18,-1.5194669683885,0.111,0.442,1.96943048474543e-13,0.621501899642211,1.67471614473466
"19","ATF3",2.16226371386513e-06,-0.616418697038042,0,0.101,0.0476606167810152,0,0.427268881896354
"20","AUTS2",7.24963208642828e-07,0.483316275974512,0.638,0.415,0.0159796390449052,2.25790927610793,1.92289996209747
"21","C14orf132",3.6239746457271e-11,0.532445355727164,0.135,0.01,7.98796491411168e-07,0.465416070341762,0.0963530732172412
"22","C5orf66",3.43668597446843e-15,1.15196961328592,0.159,0.005,7.57514322492332e-11,0.820975905263868,0.0224914157239997
"23","CACNA2D3",3.72802830352879e-39,2.25816119359194,0.507,0.058,8.21731998663816e-35,1.93447205114879,0.369233986560656
"24","CADPS",2.74165890063437e-14,-1.55937930954845,0.063,0.345,6.04316454877827e-10,0.464904370460875,1.5457837422979
"25","CASC15",8.75031739145374e-17,-1.57993142476197,0.179,0.514,1.92874495942423e-12,0.93028688764497,2.02541190019679
"26","CAVIN1",7.80153415619855e-08,0.631303041194569,0.623,0.389,0.00171961415870928,1.98475258592835,1.54716666284542
"27","CCDC102B",8.85427452962538e-11,-1.55911590036563,0.155,0.394,1.95165919182003e-06,0.882578530005482,1.9632753205101
"28","CD109",2.03418264986423e-06,0.552227658448703,0.106,0.019,0.0448374539683073,0.487602233496839,0.1048271890159
"29","CD36",1.87335667930214e-07,-1.86865146575955,0.043,0.196,0.00412925279251777,0.301406529510821,1.59665702445126
"30","CDH6",1.70802108987226e-11,-1.46321627906093,0.087,0.331,3.76482008629643e-07,0.476266558039562,1.49049079642006
