"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","ABLIM3",8.1900787194164e-07,1.25763373400702,0.149,0.027,0.0180525715133376,0.991315223894594,0.11958994699055
"2","ADAMTS12",1.44331649465538e-07,-1.43543756931117,0.011,0.278,0.00318135821751938,0.0772083522238217,1.07217785626168
"3","ADAMTS2",7.79695091617208e-09,-1.31120057038454,0.057,0.396,0.000171860392094265,0.51927555807238,1.42813053658302
"4","ADGRB3",2.66897948959503e-11,-2.03396553351958,0.057,0.455,5.88296459096536e-07,0.447863522947159,1.85770099786236
"5","AKAP6",6.77977056647261e-08,-1.09975839942053,0.253,0.602,0.00149439702826189,1.26423605666193,2.02653049051738
"6","ANK3",8.69671106649363e-18,-2.30472242143196,0.069,0.631,1.91692905327653e-13,0.629754190743665,2.22726603913252
"7","ANKS1B",1.4247242942959e-07,-0.833958044706973,0.414,0.744,0.00314037728948702,1.89297482227846,2.47103048967238
"8","ANTXR1",6.17439770750759e-15,-1.49551704550394,0.46,0.845,1.36096074268882e-10,2.04585961447754,3.08247303804794
"9","ARHGEF7",1.95606632474151e-08,-0.950611249098689,0.184,0.56,0.000431156139299524,1.05328775297014,1.71220126009146
"10","ARL17B",4.03705559113893e-12,-1.69925668858775,0.08,0.518,8.89847793398844e-08,0.557011271489295,1.73484625423152
"11","ASAP1",1.73444642827817e-06,-0.797735093180833,0.253,0.609,0.0382306681721075,1.37323084709626,1.92617867776828
"12","ASPN",2.96963634377083e-07,-1.03419525773943,0.034,0.314,0.00654567242893967,0.4466974778259,1.16354700487645
"13","C8orf34",6.43675746864932e-07,-1.48195410650395,0.023,0.278,0.0141879008123968,0.266729947175106,1.29394225781755
"14","C9orf3",8.69300228036668e-11,-0.858259458737988,0.379,0.845,1.91611156263842e-06,1.98037127394077,2.57527139795391
"15","CACNA1C",1.55665382375906e-07,-0.696840966410813,0.839,0.912,0.00343117635832972,3.51594853805946,3.99896188922578
"16","CALCRL",1.11259665441306e-08,-1.15430255235359,0.08,0.432,0.000245238554565728,0.532121022111775,1.33222258178882
"17","CASC15",3.17122602422962e-17,-2.51442710600675,0.046,0.572,6.99001640260692e-13,0.286527997239464,2.02939605649155
"18","CCDC102B",1.6894985684122e-06,-1.33901848058288,0.057,0.314,0.0372399274449417,0.400195445454097,1.32833232998778
"19","CHRM3",1.35931706105914e-08,-1.3335570736158,0.046,0.371,0.000299620666598656,0.615721879568228,1.54007320526079
"20","CLU",1.09616574883722e-06,1.76258074413096,0.437,0.251,0.02416168543587,2.13473748233884,0.913009609035219
"21","CNNM2",3.17748168310534e-10,-1.34040732233639,0.103,0.506,7.00380512590078e-06,0.994615424734187,1.92371498101356
"22","COL14A1",3.03904127979571e-10,-1.11309700379505,0.172,0.609,6.6986547889257e-06,1.253416872524,2.02495692239426
"23","COL18A1",3.30545168077264e-11,-1.05839895057115,0.253,0.735,7.28587659475906e-07,1.48534354902438,2.21896979752038
"24","CPXM2",6.69892299648603e-11,-1.56059222776432,0.08,0.474,1.47657660688545e-06,0.445220918368023,1.52694102104662
"25","CRIM1",3.68975862005119e-07,-0.918906537886885,0.529,0.806,0.00813296595031682,2.3727609612296,3.00969843716399
"26","CSRP1",6.71174778331681e-14,1.66071843073204,0.736,0.511,1.47940344639869e-09,2.76879107449394,1.61766877652809
"27","DES",5.66382645654639e-08,1.31622663369882,0.552,0.324,0.00124842062755196,2.25773990348937,1.34540112336313
