"","Row.names","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","log1p_avg_calcifieds","log1p_avg_controls"
"1","ABCB1",1.57591491305396e-06,-1.6160706501311,0.056,0.342,0.0347363165135354,0.324309347567849,1.4444841622919
"2","ABLIM1",6.45029923119385e-08,1.08444678372983,0.831,0.732,0.00142177495653975,3.03837463856665,2.28669340795702
"3","ARL15",2.17211066929114e-07,-0.648483972507927,0.521,0.857,0.00478776633725152,3.1290376153619,3.57853245254408
"4","ARL17B",5.56844380794256e-12,-2.11472473403036,0.042,0.504,1.2273963841467e-07,0.169582007576593,1.63539749463012
"5","CACNB2",9.73790699676287e-08,1.6778085013874,0.507,0.235,0.00214642946022647,2.34310947305057,1.18014124079439
"6","CAVIN1",6.78192880067296e-09,1.29296973382953,0.746,0.54,0.000149487274624433,2.64248200538523,1.74626367983195
"7","CCSER1",2.08872851419799e-07,-1.28849296975286,0.183,0.559,0.00460397539099522,1.05394814525381,1.94706341440931
"8","CLU",1.16201934860777e-12,1.67143611399471,0.817,0.537,2.56132304820125e-08,2.99040631356039,1.83185508365888
"9","CNN1",4.11467439918398e-07,1.3304303700593,0.394,0.143,0.00906956531068133,1.63639560969861,0.714211549760683
"10","CSRP1",3.94279375111865e-07,1.00607542902094,0.676,0.39,0.00869070598621573,2.20167574475379,1.50431739769729
"11","DMD",1.40957003097929e-14,1.71057840450776,0.775,0.353,3.10697426228455e-10,2.64880558056152,1.46312298235023
"12","FKBP5",6.98603330639454e-38,4.10450923811793,0.845,0.158,1.53986146139548e-33,3.61942631463219,0.7743973086485
"13","FOXO3",2.34425526436315e-17,2.17654287770592,0.732,0.261,5.16720745370925e-13,2.64669001300308,1.13802545395339
"14","FP236383.1",4.29752059228575e-09,1.4400422606156,0.394,0.114,9.47259488951626e-05,1.51159573198157,0.513434499148691
"15","FP671120.1",1.11506726467752e-12,1.72209701086173,0.535,0.154,2.45783126480218e-08,1.97272936996137,0.77906268223185
"16","GALNT15",1.42993254283502e-08,1.06081570974479,0.211,0.026,0.000315185731091695,0.916498004871581,0.181196586568284
"17","GUCY1A1",5.77587755229913e-10,-1.84053340705097,0.169,0.577,1.27311893007777e-05,0.758332555356381,2.03409309718015
"18","HEG1",4.61508216498177e-09,-1.24081513765404,0.507,0.812,0.000101725641080528,1.87097685473605,2.73104436899705
"19","HIF3A",5.30024149632478e-12,1.62889817880824,0.563,0.199,1.16827923061991e-07,1.98177722955615,0.852711049495991
"20","HSPB1",1.29664690118313e-07,1.28335094986899,0.704,0.471,0.00285806909958787,2.51841350423343,1.62886241166281
"21","ITLN1",1.09796663182048e-19,2.5787493279767,0.775,0.287,2.42013804985871e-15,3.5469846562774,1.75953183021949
"22","KALRN",3.83563063301259e-09,-1.44268402553598,0.239,0.647,8.45449704128634e-05,1.17086626671037,2.1708586314495
"23","LAMA2",8.87258831345849e-09,1.44179688856385,0.563,0.257,0.000195569591605252,2.19158180865935,1.19220436041121
"24","LIMCH1",1.69026845243875e-08,-1.03349420164246,0.549,0.827,0.000372568972286549,2.14940024793479,2.86576383992831
"25","LMOD1",7.71128703043606e-10,1.53138684340291,0.592,0.257,1.69972188724872e-05,2.20838220997877,1.14690573712745
"26","LSAMP",7.99939603917336e-09,2.1272998115183,0.38,0.11,0.000176322687495459,2.27139382493379,0.796861958374173
"27","MALAT1",1.54483523581412e-13,-0.532262001956065,1,1,3.40512582678149e-09,5.57478075661184,5.94371666258688
"28","MBNL1",2.07210666222253e-06,0.710776319489406,0.915,0.79,0.045673375048709,3.13780674696746,2.64513414510461
"29","MEF2A",2.35934251049024e-07,-1.22658472553587,0.282,0.621,0.00520046276162258,1.08715381734017,1.93735756156325
"30","MEIS2",2.37973100208172e-11,-1.27640208042031,0.563,0.886,5.24540307478854e-07,2.25539621510206,3.14013071840624
"31","MT-CO1",1.36473301841737e-06,0.661101174971099,0.901,0.82,0.0300814451919557,3.01413139553941,2.55589098004333
"32","MYH11",2.98837903940488e-18,1.33804093830921,0.986,0.768,6.58698507865623e-14,3.43932743358933,2.51186812972652
"33","MYL9",2.36269579049134e-12,1.1350731349845,0.972,0.926,5.207854061401e-08,3.8501336910009,3.06336094775705
"34","NEGR1",2.94348843448571e-09,1.35966287676844,0.479,0.165,6.48803720729341e-05,1.83660981856019,0.894163329016124
"35","NKAIN2",2.58274477972663e-09,-1.15342076941467,0.451,0.835,5.69288604347344e-05,2.62997251818294,3.429462872502
"36","PDE4D",1.61792588868151e-07,0.887987264785407,0.859,0.699,0.00356623224383178,2.99413270653474,2.3786268375756
"37","PER3",4.45126418977192e-07,-1.50465336322063,0.028,0.327,0.00981147652709527,0.120555056726251,1.16350129316267
"38","PRKG1",9.77848653493566e-11,1.22476982245541,0.746,0.401,2.15537400203052e-06,2.46225454050976,1.61330879123988
"39","RPL13",1.32283704888407e-06,1.09173574154562,0.676,0.511,0.0291579742315027,2.38602519929138,1.62929164812251
"40","SLIT3",6.77734181975097e-08,1.26297014204257,0.31,0.077,0.00149386168390951,1.41954904636827,0.544124853280069
"41","SORBS1",1.1882512110547e-06,1.4994922274828,0.563,0.305,0.0261914331940678,2.26608666792138,1.22671785817013
"42","SPTAN1",4.56528779908038e-07,-0.890452885693353,0.38,0.735,0.010062807366733,1.58869726130477,2.20591216844458
